frame,vehicle_type,id,bbox
72,2,3,"[[457.75634765625, 196.3197784423828, 498.1331787109375, 227.63661193847656]]"
72,7,5,"[[5.3616743087768555, 234.16758728027344, 120.09345245361328, 360.0]]"
73,2,1,"[[375.9089660644531, 144.5619354248047, 397.61212158203125, 161.95677185058594]]"
73,2,3,"[[456.3609924316406, 195.38819885253906, 495.2124328613281, 225.31222534179688]]"
73,5,5,"[[4.903616905212402, 236.51742553710938, 118.56975555419922, 360.0]]"
74,2,1,"[[375.26397705078125, 144.3511505126953, 396.88134765625, 161.65089416503906]]"
74,2,3,"[[454.53753662109375, 194.89883422851562, 492.5794677734375, 223.98696899414062]]"
75,2,1,"[[375.0216064453125, 144.0531768798828, 395.7059631347656, 160.4992218017578]]"
75,2,3,"[[452.0592346191406, 193.4580535888672, 490.2458801269531, 222.63336181640625]]"
76,2,1,"[[374.5993957519531, 143.45347595214844, 394.98095703125, 159.5962371826172]]"
76,2,3,"[[449.6390380859375, 192.19349670410156, 487.74249267578125, 221.18568420410156]]"
77,2,3,"[[447.8150329589844, 190.85777282714844, 485.2916259765625, 219.36517333984375]]"
78,2,3,"[[445.4781494140625, 188.98390197753906, 482.7063903808594, 217.2138671875]]"
79,2,3,"[[443.1795654296875, 187.4541473388672, 480.40557861328125, 215.7369842529297]]"
80,2,3,"[[441.57147216796875, 186.9022674560547, 477.8404541015625, 214.3778839111328]]"
81,2,3,"[[439.85137939453125, 185.42063903808594, 476.2049255371094, 212.98202514648438]]"
82,2,3,"[[437.67523193359375, 183.9828338623047, 473.7261962890625, 211.3280792236328]]"
83,2,3,"[[436.2819519042969, 182.70162963867188, 472.0935974121094, 209.88555908203125]]"
84,2,3,"[[434.1611328125, 181.81304931640625, 469.29522705078125, 208.430908203125]]"
85,2,3,"[[432.4667663574219, 180.48509216308594, 467.3505554199219, 206.9605712890625]]"
86,2,3,"[[430.4517822265625, 179.64503479003906, 464.65631103515625, 205.49623107910156]]"
87,2,3,"[[428.8204040527344, 179.0261688232422, 462.6249084472656, 204.46397399902344]]"
88,2,3,"[[427.2946472167969, 177.78506469726562, 461.1373596191406, 203.25404357910156]]"
89,2,3,"[[426.2179870605469, 176.68438720703125, 459.03973388671875, 201.26055908203125]]"
90,2,3,"[[424.5310974121094, 175.74319458007812, 457.2797546386719, 200.2781219482422]]"
91,2,3,"[[423.26123046875, 175.10508728027344, 455.1102294921875, 198.927490234375]]"
92,2,3,"[[421.2071228027344, 173.84609985351562, 453.2884521484375, 197.88644409179688]]"
93,2,3,"[[419.7779235839844, 172.4105224609375, 452.3184509277344, 196.84963989257812]]"
94,2,3,"[[418.2331237792969, 171.65191650390625, 450.2400817871094, 195.66290283203125]]"
95,2,3,"[[416.9154357910156, 170.9722900390625, 448.7864685058594, 194.82371520996094]]"
96,5,3,"[[411.5768737792969, 161.9616241455078, 452.626708984375, 193.46583557128906]]"
97,2,3,"[[412.1231689453125, 165.3673553466797, 447.7657165527344, 192.54095458984375]]"
98,7,3,"[[407.4549255371094, 159.36265563964844, 448.81658935546875, 191.7897186279297]]"
99,7,3,"[[405.6290283203125, 157.1462860107422, 447.79376220703125, 191.0592803955078]]"
100,7,3,"[[406.185546875, 158.62506103515625, 443.85528564453125, 189.27056884765625]]"
101,2,3,"[[408.5331115722656, 163.1831512451172, 439.6959228515625, 188.37615966796875]]"
102,2,3,"[[407.631103515625, 162.8018035888672, 437.9210205078125, 187.33595275878906]]"
103,2,3,"[[406.9776611328125, 163.40687561035156, 435.39056396484375, 186.1839141845703]]"
104,2,3,"[[405.8928527832031, 163.61990356445312, 433.3371276855469, 185.41806030273438]]"
105,2,3,"[[405.0377502441406, 163.17494201660156, 432.2966003417969, 184.62530517578125]]"
106,2,3,"[[404.0375671386719, 162.56199645996094, 431.1070861816406, 183.89450073242188]]"
107,2,3,"[[402.44921875, 161.49667358398438, 429.6133728027344, 182.8495330810547]]"
108,2,3,"[[402.06561279296875, 161.05577087402344, 428.704833984375, 181.88552856445312]]"
109,2,3,"[[401.1768798828125, 160.8301239013672, 426.9697265625, 180.9648895263672]]"
110,2,3,"[[400.0600280761719, 160.57823181152344, 425.4535217285156, 180.2609100341797]]"
111,2,3,"[[398.35260009765625, 159.56112670898438, 423.926025390625, 179.2419891357422]]"
112,2,3,"[[397.3296813964844, 158.60540771484375, 422.7120361328125, 178.06021118164062]]"
113,2,3,"[[396.0452880859375, 157.02752685546875, 422.21533203125, 177.1793975830078]]"
114,2,3,"[[394.68951416015625, 156.35977172851562, 420.96209716796875, 176.55670166015625]]"
115,7,3,"[[393.70831298828125, 155.9054412841797, 419.9078369140625, 176.06646728515625]]"
116,2,3,"[[393.46514892578125, 155.96983337402344, 418.6956787109375, 175.40171813964844]]"
117,6,-1,"[[231.1788330078125, 100.42887115478516, 304.49383544921875, 154.62893676757812]]"
117,5,-1,"[[390.51116943359375, 143.38467407226562, 470.962646484375, 175.18325805664062]]"
118,2,-1,"[[393.29205322265625, 155.43353271484375, 415.81085205078125, 173.65887451171875]]"
118,5,-1,"[[389.1605224609375, 142.24697875976562, 469.1358642578125, 174.44351196289062]]"
118,6,-1,"[[229.89065551757812, 117.60302734375, 304.4511413574219, 156.086669921875]]"
118,2,-1,"[[230.69485473632812, 134.9775390625, 250.34115600585938, 149.0159912109375]]"
119,2,-1,"[[390.13458251953125, 151.68008422851562, 414.75885009765625, 173.14620971679688]]"
119,5,-1,"[[389.2724914550781, 143.29440307617188, 415.8231506347656, 173.75946044921875]]"
119,7,-1,"[[388.90179443359375, 143.66241455078125, 415.07940673828125, 173.5960693359375]]"
120,2,-1,"[[389.31024169921875, 150.49713134765625, 414.49822998046875, 173.35800170898438]]"
120,7,-1,"[[388.0711669921875, 143.0965576171875, 414.079833984375, 173.64080810546875]]"
120,2,-1,"[[350.49761962890625, 128.7152099609375, 366.43292236328125, 142.1488037109375]]"
120,5,-1,"[[388.3446044921875, 143.14083862304688, 414.66741943359375, 173.51724243164062]]"
120,2,-1,"[[233.84945678710938, 135.56875610351562, 250.40823364257812, 149.90597534179688]]"
121,2,-1,"[[388.7821044921875, 151.75375366210938, 414.38958740234375, 172.66714477539062]]"
121,2,-1,"[[387.22808837890625, 144.96981811523438, 415.93646240234375, 172.77682495117188]]"
121,7,-1,"[[387.6220703125, 142.33700561523438, 414.37371826171875, 172.61526489257812]]"
122,5,-1,"[[385.7674560546875, 139.6811065673828, 463.8724365234375, 171.89830017089844]]"
122,2,-1,"[[387.0400085449219, 152.39877319335938, 412.3148498535156, 171.23745727539062]]"
122,7,-1,"[[386.117431640625, 140.8515625, 412.427490234375, 171.078857421875]]"
122,2,-1,"[[229.53976440429688, 136.63861083984375, 249.57937622070312, 150.60870361328125]]"
123,5,-1,"[[384.52484130859375, 138.65310668945312, 463.92913818359375, 171.80087280273438]]"
123,7,-1,"[[385.195068359375, 140.9908447265625, 411.416259765625, 171.27886962890625]]"
123,9,-1,"[[233.7289276123047, 127.22862243652344, 248.4788055419922, 150.02171325683594]]"
124,5,-1,"[[384.18206787109375, 138.30860900878906, 463.58154296875, 171.32090759277344]]"
124,2,-1,"[[385.895263671875, 152.73941040039062, 410.113037109375, 170.40536499023438]]"
124,7,-1,"[[384.6498718261719, 141.11651611328125, 410.0511169433594, 170.5885009765625]]"
124,2,-1,"[[228.59495544433594, 131.0675811767578, 249.2682342529297, 151.9540557861328]]"
124,9,-1,"[[234.198974609375, 127.36251831054688, 248.48416137695312, 150.35446166992188]]"
125,5,-1,"[[383.6904296875, 137.59010314941406, 463.470703125, 170.2877960205078]]"
