epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,266.134,1.17662,2.01686,0.98065,1.00338,0.58257,0.5102,0.53048,0.31224,0.56952,0.49286,0.50055,0.2634,1.40492,2.62725,1.18503,1.12427,0.00100687,0.00100687,0.00100687
42,271.866,1.06357,1.83742,0.87766,0.95881,0.60312,0.44907,0.51207,0.30096,0.63192,0.40177,0.46631,0.25771,1.38905,2.68381,1.19397,1.1303,0.000990365,0.000990365,0.000990365
43,276.311,1.15848,2.01973,0.98307,1.01382,0.65455,0.39982,0.49271,0.28672,0.55134,0.431,0.46407,0.24754,1.40712,2.75751,1.22419,1.1426,0.000973861,0.000973861,0.000973861
44,282.615,1.10777,1.8716,0.90428,0.96936,0.69492,0.42208,0.50726,0.30095,0.67258,0.41308,0.46648,0.2472,1.42375,2.77814,1.19981,1.16241,0.000957358,0.000957358,0.000957358
45,288.106,1.16908,2.01759,0.91348,0.99731,0.66045,0.48529,0.52637,0.29881,0.64334,0.43629,0.47461,0.24567,1.44032,2.75488,1.19361,1.15897,0.000940855,0.000940855,0.000940855
46,293.31,1.17001,1.99218,0.92745,0.97429,0.61165,0.50257,0.52952,0.30278,0.59318,0.48734,0.48469,0.24783,1.4265,2.72454,1.19958,1.1434,0.000924352,0.000924352,0.000924352
47,298.939,1.09368,1.80879,0.87102,0.969,0.61636,0.48095,0.52177,0.31074,0.63343,0.49208,0.50865,0.2656,1.41318,2.71194,1.19144,1.14085,0.000907848,0.000907848,0.000907848
48,303.176,1.00644,1.66583,0.84717,0.94992,0.6047,0.47251,0.52168,0.30711,0.57048,0.44828,0.47877,0.26517,1.38157,2.76641,1.21484,1.14447,0.000891345,0.000891345,0.000891345
49,308.561,1.12636,1.93074,0.89648,0.97483,0.63064,0.48001,0.5226,0.3111,0.59666,0.45104,0.4927,0.26473,1.37077,2.7572,1.25633,1.15293,0.000874842,0.000874842,0.000874842
50,313.857,1.09031,1.86397,0.8246,0.95638,0.72611,0.44572,0.54046,0.32628,0.71713,0.42413,0.50522,0.27456,1.33875,2.75119,1.17533,1.12455,0.000858338,0.000858338,0.000858338
51,318.963,1.11412,1.85792,0.85548,0.95954,0.64828,0.51086,0.5489,0.3337,0.60276,0.4835,0.50863,0.27513,1.32843,2.69396,1.14074,1.11267,0.000841835,0.000841835,0.000841835
52,324.416,1.03813,1.72347,0.83329,0.95541,0.68915,0.48189,0.54142,0.32151,0.65687,0.45971,0.50555,0.28085,1.38648,2.63168,1.1637,1.10841,0.000825332,0.000825332,0.000825332
53,328.694,1.15552,2.01376,0.87174,0.96967,0.70669,0.47282,0.55894,0.32912,0.6713,0.46106,0.51605,0.28407,1.35323,2.64722,1.15768,1.09395,0.000808828,0.000808828,0.000808828
54,333.999,1.0939,1.80033,0.87898,0.96771,0.61575,0.49973,0.55848,0.33277,0.66741,0.46374,0.52885,0.28098,1.33447,2.60345,1.14934,1.08816,0.000792325,0.000792325,0.000792325
55,340.053,1.15642,1.90053,0.85771,0.95408,0.63443,0.49318,0.56733,0.33055,0.64311,0.46846,0.53438,0.27415,1.33505,2.61564,1.13436,1.08542,0.000775822,0.000775822,0.000775822
56,345.901,1.07933,1.79644,0.845,0.95359,0.73041,0.47289,0.56235,0.32615,0.68949,0.45072,0.51884,0.27035,1.35726,2.68698,1.14308,1.11551,0.000759318,0.000759318,0.000759318
57,350.402,1.0738,1.75952,0.87095,0.9551,0.7203,0.47276,0.55268,0.32312,0.70447,0.45064,0.50371,0.27744,1.3408,2.71463,1.15123,1.12181,0.000742815,0.000742815,0.000742815
58,356.253,1.11662,1.93068,0.85197,0.98743,0.73832,0.46979,0.58115,0.34152,0.69426,0.44952,0.52678,0.28405,1.31984,2.70522,1.09423,1.114,0.000726312,0.000726312,0.000726312
59,360.649,1.01879,1.70323,0.90396,0.96536,0.68922,0.52411,0.58183,0.34307,0.75939,0.43729,0.5303,0.29215,1.31199,2.7287,1.08468,1.10314,0.000709809,0.000709809,0.000709809
60,365.472,1.04428,1.7993,0.80351,0.93063,0.71965,0.4845,0.55267,0.33005,0.69906,0.46198,0.51883,0.28311,1.32469,2.76196,1.17098,1.11003,0.000693305,0.000693305,0.000693305
61,371.519,1.05918,1.83403,0.81383,0.951,0.69629,0.43449,0.52184,0.32142,0.63541,0.41379,0.4789,0.26767,1.33226,2.76715,1.22124,1.11856,0.000676802,0.000676802,0.000676802
62,376.065,1.04402,1.75547,0.8224,0.94775,0.70571,0.44299,0.52359,0.31575,0.70639,0.43993,0.4946,0.27567,1.37272,2.73045,1.29354,1.12813,0.000660299,0.000660299,0.000660299
63,380.83,0.92503,1.57648,0.81036,0.92582,0.76534,0.41906,0.51162,0.31853,0.74677,0.42276,0.48455,0.26896,1.36304,2.71444,1.29886,1.12443,0.000643795,0.000643795,0.000643795
